Date,High,Low,Open,Close,Volume,Adj Close
2020-01-02,300.6000061035156,295.19000244140625,296.239990234375,300.3500061035156,33870100.0,299.6388854980469
2020-01-03,300.5799865722656,296.5,297.1499938964844,297.42999267578125,36580700.0,296.72576904296875
2020-01-06,299.9599914550781,292.75,293.7900085449219,299.79998779296875,29596800.0,299.09014892578125
2020-01-07,300.8999938964844,297.4800109863281,299.8399963378906,298.3900146484375,27218000.0,297.68353271484375
2020-01-08,304.44000244140625,297.1600036621094,297.1600036621094,303.19000244140625,33019800.0,302.4721374511719
2020-01-09,310.42999267578125,306.20001220703125,307.239990234375,309.6300048828125,42527100.0,308.89691162109375
2020-01-10,312.6700134277344,308.25,310.6000061035156,310.3299865722656,35161200.0,309.59521484375
2020-01-13,317.07000732421875,311.1499938964844,311.6400146484375,316.9599914550781,30383000.0,316.20953369140625
2020-01-14,317.57000732421875,312.1700134277344,316.70001220703125,312.67999267578125,40488600.0,311.9396667480469
2020-01-15,315.5,309.54998779296875,311.8500061035156,311.3399963378906,30480900.0,310.60284423828125
2020-01-16,315.70001220703125,312.0899963378906,313.5899963378906,315.239990234375,27207300.0,314.49359130859375
2020-01-17,318.739990234375,315.0,316.2699890136719,318.7300109863281,34454100.0,317.9753723144531
2020-01-21,319.0199890136719,316.0,317.19000244140625,316.57000732421875,27710800.0,315.8204650878906
2020-01-22,319.989990234375,317.30999755859375,318.5799865722656,317.70001220703125,25458100.0,316.94781494140625
2020-01-23,319.55999755859375,315.6499938964844,317.9200134277344,319.2300109863281,26118000.0,318.47418212890625
2020-01-24,323.3299865722656,317.5199890136719,320.25,318.30999755859375,36634400.0,317.55633544921875
2020-01-27,311.7699890136719,304.8800048828125,310.05999755859375,308.95001220703125,40485000.0,308.218505859375
2020-01-28,318.3999938964844,312.19000244140625,312.6000061035156,317.69000244140625,40558500.0,316.93780517578125
2020-01-29,327.8500061035156,321.3800048828125,324.45001220703125,324.3399963378906,54057300.0,323.5720520019531
2020-01-30,324.0899963378906,318.75,320.5400085449219,323.8699951171875,31685800.0,323.1031799316406
2020-01-31,322.67999267578125,308.2900085449219,320.92999267578125,309.510009765625,49897100.0,308.7771911621094
2020-02-03,313.489990234375,302.2200012207031,304.29998779296875,308.6600036621094,43496400.0,307.92919921875
2020-02-04,319.6400146484375,313.6300048828125,315.30999755859375,318.8500061035156,34154100.0,318.0950622558594
2020-02-05,324.760009765625,318.95001220703125,323.5199890136719,321.45001220703125,29706700.0,320.6889343261719
2020-02-06,325.2200012207031,320.260009765625,322.57000732421875,325.2099914550781,26356400.0,324.44000244140625
2020-02-07,323.3999938964844,318.0,322.3699951171875,320.0299987792969,29357800.0,320.0299987792969
