Date,High,Low,Open,Close,Volume,Adj Close
2020-01-02,284.1400146484375,278.6099853515625,281.20001220703125,283.67999267578125,789700,283.67999267578125
2020-01-03,282.0199890136719,278.67999267578125,279.1000061035156,280.44000244140625,488800,280.44000244140625
2020-01-06,286.17999267578125,276.3999938964844,276.67999267578125,285.8800048828125,775700,285.8800048828125
2020-01-07,286.45001220703125,281.4700012207031,285.9200134277344,283.05999755859375,522900,283.05999755859375
2020-01-08,287.69000244140625,281.0,284.1400146484375,286.0,602600,286.0
2020-01-09,301.6499938964844,290.0,290.7699890136719,296.5400085449219,1331300,296.5400085449219
2020-01-10,299.07000732421875,292.6300048828125,297.2099914550781,293.3299865722656,589200,293.3299865722656
2020-01-13,299.8699951171875,293.07000732421875,295.6499938964844,298.07000732421875,468100,298.07000732421875
2020-01-14,294.9100036621094,282.010009765625,286.17999267578125,287.6099853515625,1082300,287.6099853515625
2020-01-15,287.260009765625,269.4599914550781,285.69000244140625,274.1000061035156,1571500,274.1000061035156
2020-01-16,285.239990234375,271.8399963378906,271.8399963378906,285.0299987792969,959300,285.0299987792969
2020-01-17,287.7699890136719,278.6400146484375,285.69000244140625,280.70001220703125,793400,280.70001220703125
2020-01-21,282.0,272.2900085449219,280.55999755859375,273.1700134277344,858200,273.1700134277344
2020-01-22,281.79998779296875,274.8900146484375,274.8900146484375,279.30999755859375,832500,279.30999755859375
2020-01-23,280.010009765625,269.6099853515625,280.010009765625,270.7799987792969,982100,270.7799987792969
2020-01-24,278.3900146484375,269.42999267578125,272.1099853515625,269.9800109863281,964400,269.9800109863281
2020-01-27,264.4200134277344,252.5,264.0,260.9100036621094,1025300,260.9100036621094
2020-01-28,268.67999267578125,262.55999755859375,265.80999755859375,267.82000732421875,690400,267.82000732421875
2020-01-29,268.9200134277344,261.510009765625,266.19000244140625,261.6000061035156,1391600,261.6000061035156
2020-01-30,264.45001220703125,248.35000610351562,248.74000549316406,262.8900146484375,1833100,262.8900146484375
2020-01-31,261.489990234375,251.52000427246094,260.9599914550781,257.1000061035156,1207300,257.1000061035156
2020-02-03,259.6199951171875,251.8800048828125,257.5,253.02000427246094,1142900,253.02000427246094
2020-02-04,257.8599853515625,254.1199951171875,256.92999267578125,256.5199890136719,994200,256.5199890136719
2020-02-05,269.3399963378906,258.0,260.04998779296875,267.5,1128300,267.5
2020-02-06,267.989990234375,261.44000244140625,267.989990234375,266.760009765625,714100,266.760009765625
2020-02-07,265.0,258.0899963378906,265.0,258.6700134277344,609900,258.6700134277344
